iter	Logloss
0	0.6890186734
1	0.6848714314
2	0.6812562488
3	0.677921719
4	0.6743641202
5	0.6709440322
6	0.6675280616
7	0.6646112714
8	0.6617730761
9	0.6582665822
10	0.6550946917
11	0.6522549826
12	0.6495194208
13	0.6465891883
14	0.6435376122
15	0.6400157384
16	0.6373137217
17	0.6342468262
18	0.6313588581
19	0.6285714044
20	0.6256479536
21	0.6236397879
22	0.6214520288
23	0.6192329043
24	0.6171950083
25	0.6151515416
26	0.6127576677
27	0.610160646
28	0.6083484831
29	0.6059355963
30	0.603616987
31	0.601193867
32	0.5999527583
33	0.5977588835
34	0.5952844771
35	0.5923832485
36	0.5904726301
37	0.5891609192
38	0.5878904433
39	0.5858469161
40	0.5839287289
41	0.5823099651
42	0.5805145143
43	0.5786366538
44	0.5764586434
45	0.5747887748
46	0.573066772
47	0.5707881867
48	0.5689079648
49	0.567112514
50	0.5653007144
51	0.5635757446
52	0.5623139881
53	0.5604226854
54	0.5589101882
55	0.5575301155
56	0.5557550703
57	0.5541262551
58	0.5521811833
59	0.5506359888
60	0.5497113788
61	0.5486170451
62	0.547261556
63	0.5458156646
64	0.5449745542
65	0.5436261495
66	0.5422555833
67	0.5405143253
68	0.5392774552
69	0.5378337436
70	0.536809346
71	0.535811288
72	0.5346590072
73	0.53343455
74	0.5321820577
75	0.5309035286
76	0.5297107999
77	0.5285367209
78	0.5274836222
79	0.5261775426
80	0.5250620161
81	0.5241480025
82	0.5230464633
83	0.5215290009
84	0.5207056924
85	0.5197241041
86	0.5182519337
87	0.5170464289
88	0.5157938155
89	0.5142989386
90	0.513242328
91	0.5119464208
92	0.5105691335
93	0.5096428281
94	0.5085950579
95	0.5073434436
96	0.5062812321
97	0.5051394569
98	0.5041666485
99	0.5035076444
100	0.502491179
101	0.5017897288
102	0.501162635
103	0.500323674
104	0.4992959462
105	0.4984768459
106	0.497399648
107	0.4965742808
108	0.4956639002
109	0.4949147058
110	0.4938771081
111	0.4931335752
112	0.4920587388
113	0.4911743648
114	0.4904057336
115	0.489442129
116	0.4886371673
117	0.4880456773
118	0.4872316936
119	0.4865758684
120	0.4855522882
121	0.4848688216
122	0.4843627687
123	0.4838820563
124	0.4833045838
125	0.4823661986
126	0.4816590264
127	0.4809413486
128	0.4799269722
129	0.4791119288
130	0.4783481416
131	0.4772907741
132	0.4764106993
133	0.4757001362
134	0.4749456133
135	0.4741715022
136	0.47344783
137	0.4726227654
138	0.4717289153
139	0.4708894094
140	0.4704040043
141	0.4696843586
142	0.4690657116
143	0.4683167594
144	0.4674683828
145	0.4670203073
146	0.4661188882
147	0.4656075977
148	0.4649409945
149	0.4645583138
150	0.4640124185
151	0.4632191734
152	0.4625134241
153	0.4619751885
154	0.4613666232
155	0.46079018
156	0.4603438604
157	0.4597273327
158	0.458988553
159	0.4582801092
160	0.4578308832
161	0.4573235285
162	0.4565087576
163	0.4560285296
164	0.4555438511
165	0.4552621387
166	0.4548817286
167	0.4541911171
168	0.4537355332
169	0.4530686878
170	0.4525067466
171	0.4519457136
172	0.4512157743
173	0.4507783557
174	0.4500406659
175	0.4494763329
176	0.4488994356
177	0.4484704941
178	0.4478119139
179	0.4471947201
180	0.44642512
181	0.4456693256
182	0.4449877966
183	0.444483863
184	0.4438557095
185	0.443279448
186	0.4428835672
187	0.4423029158
188	0.4418744284
189	0.4413885995
190	0.4408909328
191	0.4400167011
192	0.4397195483
193	0.4393685962
194	0.43870387
195	0.4383574894
196	0.4379723564
197	0.4372640337
